Poverty,['Poverty']
Illiteracy,['Illiteracy']
Terrorism,['Terrorism']
Casteism,['Casteism']
 Untouchability,[' Untouchability']
Corruption,['Corruption']
Overpopulation,['Overpopulation']
Child Marriage,['Child Marriage']
Starvation,['Starvation']
Child Labour,['Child Labour']
Gender Inequality,['Gender Inequality']
Dowry,['Dowry']
Women,['Women']
Child Sexual Abuse,['Child Sexual Abuse']
Communalism,['Communalism']
Religious Violence,['Religious Violence']
Marital Rape,['Marital Rape']
Child Trafficking,['Child Trafficking']
