,Name,Party,Portfolio
0,Alphons Kannanthanam,BJP,"Minister of State (Independent Charge) of the Ministry of Tourism, Minister of State (Independent Charge) of the Ministry of Tourism"
1,Anant Geete,Shiv Sena,Minister of Heavy Industries and Public Enterprises
2,Ananth Kumar,BJP,"Minister of Parliamentary Affairs, Minister of Chemicals and Fertilizers"
3,Arun Jaitley,BJP,"Minister of FinanceMinister of Corporate Affairs, Minister of FinanceMinister of Corporate Affairs, Minister of Defence, Minister of Defence, Minister of Information and Broadcasting"
4,Ashok Gajapathi Raju Pusapati,Telugu Desam,Minister of Civil Aviation
5,Bandaru Dattatreya,BJP,Minister of Labour and Employment
6,Birender Singh,BJP,Minister of Rural DevelopmentMinister of Panchayati Raj
7,Chaudhary Birender Singh,BJP,"Minister of Drinking Water and Sanitation, Minister of Steel"
8,Col. Rajyavardhan Singh Rathore,BJP,"Minister of State (Independent Charge) of the Ministry of Youth Affairs and Sports; and Minister of State (Independent Charge) of the Ministry of Information and Broadcasting, Minister of State (Independent Charge) of the Ministry of Youth Affairs and Sports; and Minister of State (Independent Charge) of the Ministry of Information and Broadcasting"
9,D. V. Sadananda Gowda,BJP,"Minister of Railways, Minister of Statistics and Programme Implementation"
10,D.V. Sadananda Gowda,BJP,"Minister of Law and Justice, Minister of Chemicals and Fertilizers"
11,Dharmendra Pradhan,BJP,"Minister Of Petroleum and Natural Gas, Minister Of Petroleum and Natural Gas, Minister of Skill Development and Entrepreneurship"
12,Giriraj Singh,BJP,"Minister of State (Independent Charge) of the Ministry of Micro, Small and Medium Enterprises, Minister of State (Independent Charge) of the Ministry of Micro, Small and Medium Enterprises"
13,Gopinath Munde,BJP,"Minister of Rural DevelopmentMinister of Panchayati Raj, Minister of Drinking Water and Sanitation"
14,Hardeep Singh Puri,BJP,"Minister of State (Independent Charge) of the Ministry of Housing and Urban Affairs, Minister of State (Independent Charge) of the Ministry of Housing and Urban Affairs"
15,Harsh Vardhan,BJP,"Minister of Science and Technology, Minister Of Health and Family Welfare"
16,Harsimrat Kaur Badal,SAD,Minister of Food Processing Industries
17,Jagat Prakash Nadda,BJP,Minister Of Health and Family Welfare
18,Jitendra Singh,BJP,"Minister of State (Independent Charge) of the Ministry of Development of North Eastern Region; Minister of State in the Prime Minister’s Office; Minister of State in the Ministry of Personnel, Public Grievances and Pensions; Minister of State in the Department of Atomic Energy; and Minister of State in the Department of Space, Minister of State (Independent Charge) of the Ministry of Development of North Eastern Region; Minister of State in the Prime Minister’s Office; Minister of State in the Ministry of Personnel, Public Grievances and Pensions; Minister of State in the Department of Atomic Energy; and Minister of State in the Department of Space"
19,Jual Oram,BJP,Minister of Tribal Affairs
20,Kalraj Mishra,BJP,"Minister of Micro, Small and Medium Enterprises"
21,Mahesh Sharma,BJP,"Minister of State (Independent Charge) of the Ministry of Culture; and Minister of State in the Ministry of Environment, Forest and Climate Change, Minister of State (Independent Charge) of the Ministry of Culture; and Minister of State in the Ministry of Environment, Forest and Climate Change"
22,Maneka Gandhi,BJP,Minister of Women and Child Development
23,Manohar Parrikar,BJP,Minister of Defence
24,Manoj Sinha,BJP,"Minister of State (Independent Charge) of the Ministry of Communications; and Minister of State in the Ministry of Railways, Minister of State (Independent Charge) of the Ministry of Communications; and Minister of State in the Ministry of Railways"
25,Mukhtar Abbas Naqvi,BJP,Minister of Minority Affairs
26,Najma A. Heptulla,BJP,Minister of Minority Affairs
27,Narendra Modi,BJP,"Prime Minister Ministry of Personnel, Public Grievances and PensionsDepartment of Atomic EnergyDepartment of SpaceAll important policy issues and all other portfolios not allocated to any Minister."
28,Narendra Singh Tomar,BJP,"Minister of Rural DevelopmentMinister of Panchayati Raj, Minister of Urban DevelopmentMinister of Housing and Urban Poverty Alleviation, Minister of Drinking Water and Sanitation, Minister of Mines, Minister of Mines, Minister of Parliamentary Affairs, Minister of Steel"
29,Nirmala Sitharaman,BJP,"Minister of Defence, Minister Of Commerce and Industry"
30,Nitin Gadkari,BJP,"Minister of Rural DevelopmentMinister of Panchayati Raj, Minister of Road Transport and HighwaysMinister of Shipping, Minister of Water Resources, River Development and Ganga Rejuvenation, Minister of Drinking Water and Sanitation"
31,Piyush Goyal,BJP,"Minister of FinanceMinister of Corporate Affairs, Minister of Railways, Minister of Mines, Minister Of Coal, Minister Of Coal"
32,Prakash Javadekar,BJP,"Minister of Information and Broadcasting, Minister of Human Resource Development"
33,R. K. Singh,BJP,"Minister of State (Independent Charge) of the Ministry of Power; and Minister of State (Independent Charge) of the Ministry of New and Renewable Energy., Minister of State (Independent Charge) of the Ministry of Power; and Minister of State (Independent Charge) of the Ministry of New and Renewable Energy."
34,Radha Mohan Singh,BJP,Minister of Agriculture and Farmers Welfare
35,Rajnath Singh,BJP,Minister of Home Affairs
36,Rajyavardhan Rathore,BJP,Minister of Information and Broadcasting
37,Ram Vilas Paswan,LJP,"Minister of Consumer Affairs, Food and Public Distribution"
38,Rao Inderjit Singh,BJP,"Minister of Statistics and Programme Implementation, Minister of State (Independent Charge) of the Ministry of Planning; and Minister of State in the Ministry of Chemicals and Fertilizers, Minister of State (Independent Charge) of the Ministry of Planning; and Minister of State in the Ministry of Chemicals and Fertilizers"
39,Ravi Shankar Prasad,BJP,"Minister of Law and Justice, Minister of Law and Justice, Minister of Electronics and Information Technology"
40,Santosh Kumar Gangwar,BJP,"Minister of State (Independent Charge) of the Ministry of Labour and Employment, Minister of State (Independent Charge) of the Ministry of Labour and Employment"
