,Keyword,Count
0,BJP,4119
1,Congress,3694
2,NewsTracker,3584
3,Narendra Modi,2168
4,Rahul Gandhi,1432
5,Amit Shah,787
6,Bharatiya Janata Party,772
7,Politics,747
8,Rights,727
9,Law,718
10,Karnataka,713
11,Karnataka Assembly Election 2018,518
12,TheySaidIt,501
13,nan,482
14,India,473
15,Siddaramaiah,456
16,Uttar Pradesh,421
17,PoliticsDecoder,406
18,Supreme Court,386
19,Arvind Kejriwal,372
20,Lok Sabha,369
21,AAP,350
22,Mamata Banerjee,330
23,Madhya Pradesh,325
24,BS Yeddyurappa,323
25,Assembly Election 2018,323
26,RSS,311
27,Tamil Nadu,310
28,JD(S),310
29,Election Commission,306
30,NDA,306
31,Rajya Sabha,305
32,Communalism,289
33,Delhi,288
34,West Bengal,285
35,Parliament,282
36,Aam Aadmi Party,277
37,CPM,277
38,ConnectTheDots,275
39,rahul gandhi,272
40,TDP,269
41,Yogi Adityanath,264
42,Shiv Sena,248
43,Tripura,245
44,Maharashtra,240
45,Government,238
46,InMyOpinion,234
47,Andhra Pradesh,233
48,HD Kumaraswamy,230
49,Jammu And Kashmir,229
50,PoliticalPlay,228
51,Rajasthan,226
52,Samajwadi Party,226
53,Indian National Congress,224
54,TMC,219
55,Prime Minister Narendra Modi,213
56,Karnataka Elections 2018,213
57,AIADMK,211
58,Trinamool Congress,210
59,Karnataka Polls,210
60,Pakistan,209
61,Mayawati,207
62,Arun Jaitley,201
63,Telangana,197
64,Sonia Gandhi,190
65,Hindutva,185
66,Kerala,183
67,DMK,182
68,BSP,176
69,Chandrababu Naidu,167
70,UPA,164
71,Mehbooba Mufti,161
72,Akhilesh Yadav,160
73,Meghalaya,159
74,PDP,157
75,Nitish Kumar,156
76,Opposition,154
77,chennai news,152
78,PM Narendra Modi,150
79,Bengaluru,148
80,PM Modi,146
81,Gujarat,146
82,Rafale Deal,145
83,TRS,144
84,Telugu Desam Party,141
85,2018 Assembly Elections,139
86,Chhattisgarh,138
87,Modi,134
88,qchennai,131
89,Devendra Fadnavis,129
90,Atal Bihari Vajpayee,126
91,Shivraj Singh Chouhan,126
92,Nagaland,126
93,BIhar,126
94,CBI,122
95,Assam,121
96,Vasundhara Raje,120
97,New Delhi,118
98,Twitter,117
99,Bahujan Samaj Party,117
100,Jammu and Kashmir,116
101,Shashi Tharoor,115
102,Madhya Pradesh Assembly Election 2018,115
103,Manmohan Singh,113
104,RJD,113
105,Uddhav Thackeray,112
106,Rajnath Singh,112
107,JD(U),112
108,Kashmir,111
109,Goa,111
110,Nirmala Sitharaman,107
111,Demonetisation,106
112,MK Stalin,103
113,Chhattisgarh Assembly Election 2018,103
114,Donald Trump,103
115,Tripura Assembly Election 2018,101
116,Pinarayi Vijayan,100
117,NCP,100
118,The Daily Fix,97
119,Manohar Parrikar,96
120,Imran Khan,95
121,National Conference,95
122,Gorakhpur,94
123,Sitaram Yechury,93
124,Monsoon Session,91
125,Women,90
126,Rashtriya Swayamsevak Sangh,89
127,2019 Lok Sabha Elections,88
128,HD Deve Gowda,88
129,United States,87
130,2019 General Elections,87
131,Ayodhya,87
132,Kamal Haasan,84
133,Dalit,84
134,Karnataka Polls 2018,84
135,Karnataka Elections,84
136,Rajasthan Assembly Election 2018,84
137,Sachin Pilot,83
138,Rajinikanth,83
139,Sharad Pawar,83
140,2019 Lok Sabha Polls,83
141,Manish Sisodia,82
142,NRC,82
143,Ashok Gehlot,82
144,Indira Gandhi,82
145,Telangana Assembly Election 2018,81
146,Kamal Nath,81
147,Lalu Prasad Yadav,81
148,Randeep Surjewala,81
149,Rafale,80
150,Punjab,80
151,Tejashwi Yadav,80
152,GST,80
153,Manik Sarkar,80
154,Dalits,80
155,No-Confidence Motion,78
156,Assembly elections,76
157,Mizoram,75
158,Ravi Shankar Prasad,74
159,KCR,74
160,China,73
161,EC,73
162,Bihar,72
163,N. Chandrababu Naidu,72
164,Supreme Court of India,71
165,Delhi High Court,71
166,Chennai,71
167,Lok Sabha Election 2019,71
168,Social Media,70
169,Mumbai,70
170,Phulpur,70
171,Meghalaya Assembly Election 2018,69
172,CM Siddaramaiah,68
173,Mohan Bhagwat,68
174,Muslims,68
175,Raman Singh,68
176,Religion,68
177,Nirav Modi,67
178,Nagaland Assembly Election 2018,67
179,Elections,66
180,Omar Abdullah,66
181,Centre,66
182,Jyotiraditya Scindia,65
183,Pranab Mukherjee,65
184,QBullet ,65
185,Ghulam Nabi Azad,65
186,Karnataka Elections 2018 BJP,64
187,North East,64
188,Ram Madhav,63
189,Mallikarjun Kharge,63
190,P. Chidambaram,63
191,YSR Congress,63
192,daily news,61
193,News Wrap,61
194,Karunanidhi,61
195,Ram Nath Kovind,61
196,Anil Baijal,61
197,Muslim,61
198,Jawaharlal Nehru,60
199,CPI,60
200,Budget Session,60
201,Sushma Swaraj,59
202,Bhima Koregaon,59
