Minister,Party,Portfolio,Alma Mater
Rao Inderjit Singh,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Planning; and Minister of State in the Ministry of Chemicals and Fertilizers,"Faculty of Law, University of Delhi"
Santosh Kumar Gangwar,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Labour and Employment,"LLB, Rohilkhand university"
Shripad Yasso Naik,Bharatiya Janata Party,"Minister of State (Independent Charge) of the Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",
Jitendra Singh,Bharatiya Janata Party,"Minister of State (Independent Charge) of the Ministry of Development of North Eastern Region; Minister of State in the Prime Minister’s Office; Minister of State in the Ministry of Personnel, Public Grievances and Pensions; Minister of State in the Department of Atomic Energy; and Minister of State in the Department of Space","MBBS, Stanley Medical College, Tamil Nadu"
Mahesh Sharma,Bharatiya Janata Party,"Minister of State (Independent Charge) of the Ministry of Culture; and Minister of State in the Ministry of Environment, Forest and Climate Change",
Giriraj Singh,Bharatiya Janata Party,"Minister of State (Independent Charge) of the Ministry of Micro, Small and Medium Enterprises",
Manoj Sinha,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Communications; and Minister of State in the Ministry of Railways,"Bachelor of Engineering, Indian Institute of Technology (BHU) Varanasi"
Col. Rajyavardhan Singh Rathore,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Youth Affairs and Sports; and Minister of State (Independent Charge) of the Ministry of Information and Broadcasting,
R. K. Singh,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Power; and Minister of State (Independent Charge) of the Ministry of New and Renewable Energy.,
Hardeep Singh Puri,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Housing and Urban Affairs,
Alphons Kannanthanam,Bharatiya Janata Party,Minister of State (Independent Charge) of the Ministry of Tourism,
